date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:51:41	26/26	---M--	200	added ('OK')	text/plain	etag:%221a-559a53aeb7043%22	http://www.davo1.cz/robots.txt		(from )
19:51:42	27324/27324	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202024%2018:51:42%20GMT	http://www.davo1.cz/	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/index.html	(from )
19:51:42	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2026%20Feb%202024%2018:51:43%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/bruno/Desktop/http_download/davoreklama/www.googletagmanager.com/gtm.05445.delayed	(from http://www.davo1.cz/)
19:51:43	208216/208216	---M-Z	200	added ('OK')	text/css	etag:%2232d58-55c4efc96a983-gzip%22	http://www.davo1.cz/front/styles/style.css	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/styles/style.css	(from http://www.davo1.cz/)
19:51:43	37580/37580	---M-Z	200	added ('OK')	text/css	etag:%2292cc-559a5534a122a-gzip%22	http://www.davo1.cz/front/plugins/jquery_ui/jquery-ui.min.css	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/plugins/jquery_ui/jquery-ui.min.css	(from http://www.davo1.cz/)
19:51:44	20503/20503	---M-Z	200	added ('OK')	text/css	etag:%225017-559a5534c15ca-gzip%22	http://www.davo1.cz/front/plugins/jquery_ui/jquery-ui.structure.css	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/plugins/jquery_ui/jquery-ui.structure.css	(from http://www.davo1.cz/)
19:51:44	19583/19583	---M-Z	200	added ('OK')	text/css	etag:%224c7f-559a5534f230a-gzip%22	http://www.davo1.cz/front/plugins/jquery_ui/jquery-ui.theme.css	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/plugins/jquery_ui/jquery-ui.theme.css	(from http://www.davo1.cz/)
19:51:44	85659/85659	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-14e9b%22	https://code.jquery.com/jquery-2.2.3.min.js	C:/Users/bruno/Desktop/http_download/davoreklama/code.jquery.com/jquery-2.2.3.min.js	(from http://www.davo1.cz/)
19:51:45	29065/29065	---M-Z	200	added ('OK')	text/css	etag:%227189-559a55a5c0da6-gzip%22	http://www.davo1.cz/front/styles/font-awesome/css/font-awesome.min.css	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/styles/font-awesome/css/font-awesome.min.css	(from http://www.davo1.cz/)
19:51:46	1464/1464	---M--	200	added ('OK')	image/png	etag:%225b8-55baf4c6e876b%22	http://www.davo1.cz/favicon-32x32.png	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/favicon-32x32.png	(from http://www.davo1.cz/)
19:51:46	845/845	---M--	200	added ('OK')	image/png	etag:%2234d-55baf4c3ef7a3%22	http://www.davo1.cz/favicon-16x16.png	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/favicon-16x16.png	(from http://www.davo1.cz/)
19:51:46	7046/7046	---M--	200	added ('OK')	image/png	etag:%221b86-55baf4a4f491a%22	http://www.davo1.cz/apple-touch-icon.png	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/apple-touch-icon.png	(from http://www.davo1.cz/)
19:51:47	403/403	---M-Z	200	added ('OK')	application/json	etag:%22193-55baf4e647b6d-gzip%22	http://www.davo1.cz/manifest.json	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/manifest.json	(from http://www.davo1.cz/)
19:51:47	1377/1377	---M-Z	200	added ('OK')	image/svg+xml	etag:%22561-55baf5019016e-gzip%22	http://www.davo1.cz/safari-pinned-tab.svg	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/safari-pinned-tab.svg	(from http://www.davo1.cz/)
19:51:48	21358/21358	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202024%2018:51:48%20GMT	http://www.davo1.cz/o-nas-63.html	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/o-nas-63.html	(from http://www.davo1.cz/)
19:51:49	18872/18872	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202024%2018:51:49%20GMT	http://www.davo1.cz/nase-sluzby-73.html	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/nase-sluzby-73.html	(from http://www.davo1.cz/)
19:51:49	14191/14191	---M--	200	added ('OK')	image/png	etag:%22376f-559a53dda04b5%22	http://www.davo1.cz/front/img/davo1.png	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/img/davo1.png	(from http://www.davo1.cz/)
19:51:49	30169/30169	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202024%2018:51:50%20GMT	http://www.davo1.cz/graficky-design-95.html	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/graficky-design-95.html	(from http://www.davo1.cz/)
19:51:50	345788/345788	---MCZ	200	added ('OK')	application/javascript	etag:%22546bc-559a5534d9c6a-gzip%22	http://www.davo1.cz/front/plugins/jquery_ui/jquery-ui.min.js	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/plugins/jquery_ui/jquery-ui.min.js	(from http://www.davo1.cz/)
19:51:50	90335/90335	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202024%2018:51:50%20GMT	http://www.davo1.cz/svetelna-reklama-96.html	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/svetelna-reklama-96.html	(from http://www.davo1.cz/)
19:51:50	54931/54931	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202024%2018:51:51%20GMT	http://www.davo1.cz/polepy-vozidel-97.html	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/polepy-vozidel-97.html	(from http://www.davo1.cz/)
19:51:51	24286/24286	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202024%2018:51:51%20GMT	http://www.davo1.cz/tisk-servis-98.html	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/tisk-servis-98.html	(from http://www.davo1.cz/)
19:51:51	24420/24420	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202024%2018:51:52%20GMT	http://www.davo1.cz/web-design-99.html	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/web-design-99.html	(from http://www.davo1.cz/)
19:51:52	23581/23581	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202024%2018:51:52%20GMT	http://www.davo1.cz/potisk-textilu-100.html	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/potisk-textilu-100.html	(from http://www.davo1.cz/)
19:51:52	22931/22931	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202024%2018:51:53%20GMT	http://www.davo1.cz/reference-101.html	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/reference-101.html	(from http://www.davo1.cz/)
19:51:53	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Tue,%2012%20Dec%202023%2018:09:08%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/bruno/Desktop/http_download/davoreklama/www.google-analytics.com/analytics.js	(from http://www.davo1.cz/)
19:51:53	20492/20492	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202024%2018:51:53%20GMT	http://www.davo1.cz/servis-103.html	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/servis-103.html	(from http://www.davo1.cz/)
19:51:53	4511/4511	---M--	200	added ('OK')	image/png	etag:%22119f-559a53dd7b2f5%22	http://www.davo1.cz/front/img/basket_2.png	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/img/basket_2.png	(from http://www.davo1.cz/)
19:51:53	4514/4514	---M--	200	added ('OK')	image/png	etag:%2211a2-559a53dd88db5%22	http://www.davo1.cz/front/img/basket_2_white.png	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/img/basket_2_white.png	(from http://www.davo1.cz/)
19:51:53	434/434	---M--	200	added ('OK')	image/png	etag:%221b2-559a53ddf408d%22	http://www.davo1.cz/front/img/fb_header_ico.png	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/img/fb_header_ico.png	(from http://www.davo1.cz/)
19:51:54	639/639	---M--	200	added ('OK')	image/png	etag:%2227f-559a53dfdb955%22	http://www.davo1.cz/front/img/insta_header_ico.png	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/img/insta_header_ico.png	(from http://www.davo1.cz/)
19:54:40	1028680/1028680	---M--	200	added ('OK')	image/png	etag:%22fb248-55acf90a7a966%22	http://www.davo1.cz/public/files/banners/davo-web-2017-foto-titul-2.png	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/public/files/banners/davo-web-2017-foto-titul-2.png	(from http://www.davo1.cz/)
19:54:52	1125535/1125535	---M--	200	added ('OK')	image/png	etag:%22112c9f-55acf90bdae1e%22	http://www.davo1.cz/public/files/banners/davo-web-2017-foto-titul-6.png	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/public/files/banners/davo-web-2017-foto-titul-6.png	(from http://www.davo1.cz/)
19:55:05	1182570/1182570	---M--	200	added ('OK')	image/png	etag:%22120b6a-55acf90b0215e%22	http://www.davo1.cz/public/files/banners/davo-web-2017-foto-titul-3.png	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/public/files/banners/davo-web-2017-foto-titul-3.png	(from http://www.davo1.cz/)
19:55:45	242643/242643	---M--	200	added ('OK')	image/png	etag:%223b3d3-55acf9388f380%22	http://www.davo1.cz/public/files/pages/original/design-logotypy-3460.png	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/public/files/pages/original/design-logotypy-3460.png	(from http://www.davo1.cz/)
19:55:57	1503031/1503031	---M--	200	added ('OK')	image/png	etag:%2216ef37-55acf90bdf46e%22	http://www.davo1.cz/public/files/banners/davo-web-2017-foto-titul-5.png	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/public/files/banners/davo-web-2017-foto-titul-5.png	(from http://www.davo1.cz/)
19:55:58	63768/63768	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202024%2018:55:58%20GMT	http://www.davo1.cz/venkovni-reklama-78.html	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/venkovni-reklama-78.html	(from http://www.davo1.cz/)
19:56:37	315172/315172	---M--	200	added ('OK')	image/png	etag:%224cf24-55acf9581a6a1%22	http://www.davo1.cz/public/files/pages/original/venkovni-reklama-3461.png	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/public/files/pages/original/venkovni-reklama-3461.png	(from http://www.davo1.cz/)
19:56:40	254282/254282	---M--	200	added ('OK')	image/png	etag:%223e14a-55acf945bcff8%22	http://www.davo1.cz/public/files/pages/original/svetelna-reklama-3462.png	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/public/files/pages/original/svetelna-reklama-3462.png	(from http://www.davo1.cz/)
19:56:43	20804/20804	---M--	200	added ('OK')	image/png	etag:%225144-55acf93ba5420%22	http://www.davo1.cz/public/files/pages/original/graficky-design-3476.png	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/public/files/pages/original/graficky-design-3476.png	(from http://www.davo1.cz/)
19:56:47	21860/21860	---M--	200	added ('OK')	image/png	etag:%225564-55acf945de338%22	http://www.davo1.cz/public/files/pages/original/svetelna-reklama-3477.png	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/public/files/pages/original/svetelna-reklama-3477.png	(from http://www.davo1.cz/)
19:56:51	21212/21212	---M--	200	added ('OK')	image/png	etag:%2252dc-55acf93cb4410%22	http://www.davo1.cz/public/files/pages/original/polepy-vozidel-3478.png	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/public/files/pages/original/polepy-vozidel-3478.png	(from http://www.davo1.cz/)
19:56:55	18469/18469	---M--	200	added ('OK')	image/png	etag:%224825-55acf956842a1%22	http://www.davo1.cz/public/files/pages/original/tisk-servis-3479.png	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/public/files/pages/original/tisk-servis-3479.png	(from http://www.davo1.cz/)
19:56:59	21709/21709	---M--	200	added ('OK')	image/png	etag:%2254cd-55acf95840031%22	http://www.davo1.cz/public/files/pages/original/web-design-3480.png	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/public/files/pages/original/web-design-3480.png	(from http://www.davo1.cz/)
19:57:02	20156/20156	---M--	200	added ('OK')	image/png	etag:%224ebc-55acf944123d8%22	http://www.davo1.cz/public/files/pages/original/potisk-textilu-3481.png	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/public/files/pages/original/potisk-textilu-3481.png	(from http://www.davo1.cz/)
19:57:03	56015/56015	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202024%2018:57:03%20GMT	http://www.davo1.cz/nabidka-tiskovin	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/nabidka-tiskovin.html	(from http://www.davo1.cz/)
19:57:04	6178/6178	---M--	200	added ('OK')	image/png	etag:%221822-559a53ddafeb5%22	http://www.davo1.cz/front/img/davo1_2.png	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/img/davo1_2.png	(from http://www.davo1.cz/)
19:57:05	18840/18840	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202024%2018:57:05%20GMT	http://www.davo1.cz/e-shop-94.html	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/e-shop-94.html	(from http://www.davo1.cz/)
19:57:05	1372/1372	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202024%2018:57:06%20GMT	http://www.davo1.cz/cart	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/cart.html	(from http://www.davo1.cz/)
19:57:06	23162/23162	---M-Z	200	added ('OK')	application/javascript	etag:%225a7a-559a53e16c37d-gzip%22	http://www.davo1.cz/front/scripts/eshop.js	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/scripts/eshop.js	(from http://www.davo1.cz/)
19:57:09	64268/64268	---M-Z	200	added ('OK')	application/javascript	etag:%22fb0c-559a55a19b546-gzip%22	http://www.davo1.cz/front/plugins/jquery.validate/dist/jquery.validate.js	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/plugins/jquery.validate/dist/jquery.validate.js	(from http://www.davo1.cz/)
19:57:10	1440/1440	---M-Z	200	added ('OK')	application/javascript	etag:%225a0-559a562172a03-gzip%22	http://www.davo1.cz/front/plugins/jquery.validate/dist/localization/messages_cs.min.js	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/plugins/jquery.validate/dist/localization/messages_cs.min.js	(from http://www.davo1.cz/)
19:57:10	12903/12903	---M-Z	200	added ('OK')	application/javascript	etag:%223267-559a53e200e65-gzip%22	http://www.davo1.cz/front/scripts/validations.js	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/scripts/validations.js	(from http://www.davo1.cz/)
19:57:11	3726/3726	---M-Z	200	added ('OK')	application/javascript	etag:%22e8e-559a53e1446c5-gzip%22	http://www.davo1.cz/front/scripts/ajax.js	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/scripts/ajax.js	(from http://www.davo1.cz/)
19:57:12	10508/10508	---M-Z	200	added ('OK')	application/javascript	etag:%22290c-559a53e1b66fd-gzip%22	http://www.davo1.cz/front/scripts/styleSelect.js	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/scripts/styleSelect.js	(from http://www.davo1.cz/)
19:57:13	17433/17433	---M-Z	200	added ('OK')	application/javascript	etag:%224419-559a53e16a43d-gzip%22	http://www.davo1.cz/front/scripts/jquery.imagelightbox.min.js	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/scripts/jquery.imagelightbox.min.js	(from http://www.davo1.cz/)
19:57:15	59918/59918	---M-Z	200	added ('OK')	application/javascript	etag:%22ea0e-559a55362c662-gzip%22	http://www.davo1.cz/front/scripts/perfect-scrollbar/perfect-scrollbar.jquery.js	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/scripts/perfect-scrollbar/perfect-scrollbar.jquery.js	(from http://www.davo1.cz/)
19:57:18	78331/78331	---M-Z	200	added ('OK')	application/javascript	etag:%22131fb-559a562ac49cc-gzip%22	http://www.davo1.cz/front/plugins/swiper/dist/js/swiper.min.js	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/plugins/swiper/dist/js/swiper.min.js	(from http://www.davo1.cz/)
19:57:19	15575/15575	---M-Z	200	added ('OK')	application/javascript	etag:%223cd7-559a53e1cf185-gzip%22	http://www.davo1.cz/front/scripts/toggle.js	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/scripts/toggle.js	(from http://www.davo1.cz/)
19:57:19	5464/5464	---M-Z	200	added ('OK')	application/javascript	etag:%221558-559a53e1b2c65-gzip%22	http://www.davo1.cz/front/scripts/notify.js	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/scripts/notify.js	(from http://www.davo1.cz/)
19:57:20	797/797	---M-Z	200	added ('OK')	application/javascript	etag:%2231d-559a53e199df5-gzip%22	http://www.davo1.cz/front/scripts/map.js	C:/Users/bruno/Desktop/http_download/davoreklama/www.davo1.cz/front/scripts/map.js	(from http://www.davo1.cz/)
